year,experience_level,employment_type,career,salary,employee_residence,remote_status,company_location,company_size
2024,Intermediate,Full-time,Data Engineer,196900,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Engineer,175457,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Engineer,235400,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Engineer,209720,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Scientist,196900,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Scientist,175420,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Scientist,235400,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Scientist,219539,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Data Analyst,74000,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Data Analyst,60000,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Scientist,220000,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Scientist,96600,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Engineer,135000,US,100,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Engineer,115000,US,100,US,Medium (50-250 employees)
2024,Senior,Full-time,Machine Learning Engineer,240000,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Machine Learning Engineer,120000,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Data Scientist,208800,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Data Scientist,98300,US,0,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Scientist,140000,US,100,US,Medium (50-250 employees)
2024,Senior,Full-time,Data Scientist,99000,US,100,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,104000,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,76000,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,85200,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,61650,US,0,US,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,56250,GB,0,GB,Medium (50-250 employees)
2024,Entry-level,Full-time,Business Intelligence Analyst,43750,GB,0,GB,Medium (50-250 employees)
2024,Senior,Full-time,Business Intelligence Analyst,139803,CA,0,CA,Medium (50-250 employees)
2024,Senior,Full-time,Business Intelligence Analyst,103331,CA,0,CA,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Engineer,235400,US,0,US,Medium (50-250 employees)
2024,Intermediate,Full-time,Data Engineer,211980,US,0,US,Medium (50-250 employees)
